Year,Variable,Variable Label
2024,vdid24,"Precinct FIPS Code: ""G"" + FIPS Code | Joins to vdid24 field in IN_Voting_Precinct_Boundaries_2024.shp shapefile"
2024,vdname24,Precinct Name
2024,latitude,Precinct: Population Weighted Spatial Center Latitude
2024,longitude,Precinct: Population Weighted Spatial Center Longitude
2024,county_fips,"County FIPS Code: ""G"" + County FIPS Code"
2024,county_name_short,County Name: Short Name
2024,county_name_long,County Name: Long Name
2024,st,State Abbreviation
2024,CD,United States Congressional District Number
2024,SD,Indiana Senate District Number
2024,HD,Indiana House District Number
2024,VoterCnt24,Count of Voters in Election | Available for all Indiana CD 09 Voting Precincts and Voting Precincts in the MIT Election Data Science Lab 
2022,eEligibleVoterCnt22,Estimated Voting Precinct-level Count of Voting Age Citizens based on 2022 American Community Survey Data | Copy of field vt_denn
2024,eVoterPct24,Estimated Voting Precinct-level Percent of Voting Age Citizens that Voted in the November 2024 Election | round(VoterCnt24 / eEligibleVoters22 * 100)
2024,PreRepCnt24,President Rep (Trump) | Available for all Indiana CD 09 Voting Precincts and Voting Precincts in the MIT Election Data Science Lab 
2024,PreDemCnt24,President Dem (Harris) | Available for all Indiana CD 09 Voting Precincts and Voting Precincts in the MIT Election Data Science Lab 
2024,PreDemPct24,President Dem % (Harris) | Available for all Indiana CD 09 Voting Precincts and Voting Precincts in the MIT Election Data Science Lab 
2024,ePreDemPct24,Estimated Voting Precinct-level President Dem % (Harris) | Estimated for All Voting Precincts in Indiana
2025,eDemChgPct2425,Estimated Voting Precinct-level Change in % Dem Vote based on Model from Virginia Voting Precinct-level Dem % Change from 2024 Presidential to 2025 Gubernatorial
2025,eDemPct25,Estimated Voting Precinct-level Dem % = PreDemPct24 + eDemChgPct2425 where PreDemPct24 is directly observed and = ePreDemPct24 where PreDemPct24 is not observed
2020,ar_meters,Voting Precinct Area: Square Meters
2020,ar_acres,Voting Precinct Area: Acres
2020,ar_sqmi,Voting Precinct Area: Square Miles
2020,pd_meters,Voting Precinct Population Density: Voting Precinct Population / Voting Precinct Area in Square Meters
2020,pd_acres,Voting Precinct Population Density: Voting Precinct Population / Voting Precinct Area in Acres
2020,pd_sqmi,Voting Precinct Population Density: Voting Precinct Population / Voting Precinct Area in Square Miles
2020,hd_meters,Voting Precinct Housing Density: Voting Precinct Housing Units / Voting Precinct Area in Square Meters
2020,hd_acres,Voting Precinct Housing Density: Voting Precinct Housing Units / Voting Precinct Area in Acres
2020,hd_sqmi,Voting Precinct Housing Density: Voting Precinct Housing Units / Voting Precinct Area in Square Miles
2022,ag_dage,Age: Median Age: All
2022,ag_fdage,Age: Median Age: Females
2022,ag_mdage,Age: Median Age: Males
2022,ag_0002p,Age: Population: Own Children Under 3 Years Old Percent
2022,ag_0004p,Age: Population: Under 5 Years Old Percent
2022,ag_0509p,Age: Population: 05-09 Years Old Percent
2022,ag_1014p,Age: Population: 10-14 Years Old Percent
2022,ag_1517p,Age: Population: 15-17 Years Old Percent
2022,ag_0009p,Age: Population: Under 10 Years Old Percent
2022,ag_1017p,Age: Population: 10-17 Years Old Percent
2022,ag_0017p,Age: Population: Under 18 Years Old Percent
2022,ag_1820p,Age: Population: 18-39 Years Old Percent
2022,ag_1824p,Age: Population: 18-24 Years Old Percent
2022,ag_1829p,Age: Population: 18-29 Years Old Percent
2022,ag_1834p,Age: Population: 18-34 Years Old Percent
2022,ag_1839p,Age: Population: 18-39 Years Old Percent
2022,ag_1844p,Age: Population: 18-44 Years Old Percent
2022,ag_1864p,Age: Population: 18-64 Years Old Percent
2022,ag_18pp,Age: Population: 18+ Years Old Percent
2022,ag_2124p,Age: Population: 21-24 Years Old Percent
2022,ag_2129p,Age: Population: 21-29 Years Old Percent
2022,ag_2134p,Age: Population: 21-34 Years Old Percent
2022,ag_2139p,Age: Population: 21-39 Years Old Percent
2022,ag_2144p,Age: Population: 21-44 Years Old Percent
2022,ag_2529p,Age: Population: 25-29 Years Old Percent
2022,ag_2534p,Age: Population: 25-34 Years Old Percent
2022,ag_2539p,Age: Population: 25-39 Years Old Percent
2022,ag_2544p,Age: Population: 25-44 Years Old Percent
2022,ag_3034p,Age: Population: 30-34 Years Old Percent
2022,ag_3039p,Age: Population: 30-39 Years Old Percent
2022,ag_3044p,Age: Population: 30-44 Years Old Percent
2022,ag_3539p,Age: Population: 35-39 Years Old Percent
2022,ag_3544p,Age: Population: 35-44 Years Old Percent
2022,ag_4054p,Age: Population: 40-54 Years Old Percent
2022,ag_4064p,Age: Population: 40-64 Years Old Percent
2022,ag_4554p,Age: Population: 45-54 Years Old Percent
2022,ag_4564p,Age: Population: 45-64 Years Old Percent
2022,ag_5564p,Age: Population: 55-64 Years Old Percent
2022,ag_65pp,Age: Population: 65+ Years Old Percent
2022,ag_f1549p,Age: Population: Females: 15-49 Years Old Percent
2020,re_allt,Race-Ethnicity: Denominator
2020,re_onet,Race-Ethnicity: One Race: Count
2020,re_onep,Race-Ethnicity: One Race: Percent
2020,re_whtn,Race-Ethnicity: White: Non-Hispanic Count
2020,re_whtp,Race-Ethnicity: White: Non-Hispanic Percent
2020,re_blkn,Race-Ethnicity: Black: Non-Hispanic Count
2020,re_blkp,Race-Ethnicity: Black: Non-Hispanic Percent
2020,re_ntvn,Race-Ethnicity: American Indian and Alaska Native: Non-Hispanic Count
2020,re_ntvp,Race-Ethnicity: American Indian and Alaska Native: Non-Hispanic Percent
2020,re_asnn,Race-Ethnicity: Asian: Non-Hispanic Count
2020,re_asnp,Race-Ethnicity: Asian: Non-Hispanic Percent
2020,re_pacn,Race-Ethnicity: Native Hawaiian and Other Pacific Islander: Non-Hispanic Count
2020,re_pacp,Race-Ethnicity: Native Hawaiian and Other Pacific Islander: Non-Hispanic Percent
2020,re_othn,Race-Ethnicity: Other Race Count
2020,re_othp,Race-Ethnicity: Other Race Percent
2020,re_mran,Race-Ethnicity: All: Multi-Racial Count
2020,re_mrap,Race-Ethnicity: All: Multi-Racial Percent
2020,re_ethn,Race-Ethnicity: Ethnicity: Denominator
2020,re_hsan,Race-Ethnicity: Hispanic: All Count
2020,re_hsap,Race-Ethnicity: Hispanic: All Percent
2022,re_hswp,Race-Ethnicity: Hispanic: White Percent
2022,re_hsbp,Race-Ethnicity: Hispanic: Black Percent
2022,re_mrhp,Race-Ethnicity: Hispanic: Multi-Racial Percent
2022,re_mrnp,Race-Ethnicity: Non-Hispanic: Multi-Racial Percent
2022,in_pci,Income: Per Capita Income
2022,in_dhi,Income: Median Household Income
2022,in_das,Median Overall Monthly Housing Costs: % Household Income: Owners and Ren...
2022,in_drs,Income: Median Gross Rent: % Percent of Household Income
2022,in_dos,Median Monthly Owner Housing Costs: % Household Income: All
2022,in_dom,Median Monthly Owner Housing Costs: % Household Income: With a Mortgage
2022,in_dow,Median Monthly Owner Housing Costs: % Household Income: Without a Mortgage
2022,mx_samp,Migration: Population 1 Year and Over in the Same House 1 Year Ago Percent
2022,mx_difp,Migration: Population 1 Year and Over Not in the Same House 1 Year Ago P...
2022,tx_ptap,Commuters: Public Transit: Any Percent
2022,tx_carp,Commuters: Car: Any Percent
2022,tx_busp,Commuters: Public Transit: Bus Percent
2022,tx_subp,"Commuters: Public Transit: Subway, Elevated Rail, or Light Rail Percent"
2022,tx_crlp,Commuters: Public Transit: Commuter Rail Percent
2022,tx_wlkp,Commuters: Walk Percent
2022,tx_cabp,"Commuters: Taxicab, Motorcycle, Bicycle, or Other Means Percent"
2022,tx_cdst,Commuters: Average Distance Traveled - Range of Activity
2022,tx_wclp,Commuters: Time of Departure: White Collar 7am-8:59am Percent
2022,tx_bclp,Commuters: Time of Departure: Blue Collar not 7am-8:59am Percent
2022,tx_sh1p,Commuters: Time of Departure: First Shift 12am-6:59am Percent
2022,tx_sh2p,Commuters: Time of Departure: Second Shift 9am-3:59pm Percent
2022,tx_sh3p,Commuters: Time of Departure: Third Shift 4pm-11:59pm Percent
2022,hh_mohp,Household Structure: Male Only HH with Dependent Percent
2022,hh_fohp,Household Structure: Female Only HH with Dependent Percent
2022,hh_65mp,Household Structure: 65+ Year Olds: Males Living Alone Percent
2022,hh_65fp,Household Structure: 65+ Year Olds: Females Living Alone Percent
2022,hh_65ap,Household Structure: 65+ Year Olds: Living Alone Percent
2022,fm_fodp,Family Structure: Families with Own Children Percent
2022,fm_frdp,Family Structure: Families with Related Children Percent
2022,fm_fu6ap,Family Structure: Families with Own Children: Any Child Under 6 Percent
2022,fm_fu6op,Family Structure: Families with Own Children: Only Under 6 years Percent
2022,fm_f0617p,Family Structure: Families with Own Children: Only 6 to 17 years Percent
2022,fm_fbyop,Family Structure: Families with Own Children: Both Under 6 and 6 to 17 y...
2022,fm_fc12p,Family Structure: Families: With 1 or 2 Own Children Percent
2022,fm_fc34p,Family Structure: Families: With 3 or 4 Own Children Percent
2022,fm_fc5pp,Family Structure: Families: With 5 or More Own Children Percent
2022,fm_cobp,Family Structure: Own Children: Biological Percent
2022,fm_coap,Family Structure: Own Children: Adopted Percent
2022,fm_cosp,Family Structure: Own Children: Stepchild Percent
2022,fm_cogp,Family Structure: Own Children: Grandchild Percent
2022,fm_coop,Family Structure: Own Children: Other Relatives Percent
2022,fm_cofp,Family Structure: Own Children: Foster Child Percent
2022,fm_cnfp,Family Structure: Nonrelatives: Foster Child Percent
2022,fm_c0002tp,Family Structure: Own Children: Under 3 years Percent
