fid,house_115,ndistrict,SHAPE__Length,party,SHAPE__Area
1,"Lawson, Linda (1)",1,71285.4962063486,Democrat,86863447.3732844
2,"Harris, Earl (2)",2,149723.986081314,Democrat,175534987.592052
3,"Brown, Charlie (3)",3,258852.580547086,Democrat,1662312568.05665
4,"Soliday, Edmond (4)",4,330893.793954846,Republican,1093916569.62467
5,"Fry, Craig (5)",5,103934.861121316,Democrat,170638037.82583
6,"Bauer, B. Patrick (6)",6,69894.1339740242,Democrat,101823545.554961
7,"Niezgodski, David (7)",7,178090.111350629,Democrat,608558452.247512
8,"Dvorak, Ryan (8)",8,137566.598321906,Democrat,338287929.808937
9,"Pelath, Scott (9)",9,149544.62183241,Democrat,578603251.213422
10,"Moseley, Chuck (10)",10,140749.569006272,Democrat,241101679.992505
11,"Stevenson, Dan (11)",11,71356.7381580534,Democrat,96120586.7414022
12,"Candelaria Reardon, Mara (12)",12,113516.277640131,Democrat,129850468.896118
13,"Dobis, Chester (13)",13,132500.92435712,Democrat,248893089.07882
14,"Smith, Vernon (14)",14,83281.7516916053,Democrat,116600452.085035
15,"Lehe, Donald (15)",15,571411.277655608,Republican,5004714894.21211
16,"Gutwein, Douglas (16)",16,691733.083713222,Republican,5427460652.11019
17,"Dembowski, Nancy (17)",17,327660.443140177,Democrat,3161729043.45155
18,"Wolkins, David (18)",18,338923.280616184,Republican,1706787037.5279
19,"Kuzman, Robert (19)",19,314000.168515605,Democrat,979546555.14411
20,"Dermody, Thomas (20)",20,573623.100243238,Republican,4410688936.24676
21,"Walorski, Jackie (21)",21,282436.216907057,Republican,1117076034.69084
22,"Ruppel, William J. (22)",22,323345.267153969,Republican,2954586942.27428
23,"Friend, William (23)",23,481032.61349512,Republican,2988207500.72341
24,"McClain, Richard (24)",24,361258.57613288,Republican,3247603978.13656
25,"Bardon, Jeb (25)",25,70268.1132867203,Democrat,80419126.6068217
26,"Truitt, Randy (26)",26,294733.976764458,Republican,994949219.971765
27,"Klinker, Sheila (27)",27,99905.0303138854,Democrat,108397300.946019
28,"Thompson, Jeffrey (28)",28,360753.063858838,Republican,3291877038.55723
29,"Richardson, Kathy (29)",29,140592.505600798,Republican,603026173.443715
30,"Herrell, Ron (30)",30,112678.045290974,Democrat,431242320.974854
31,"Pearson, Joe (31)",31,248891.75471878,Democrat,1386125150.24201
32,"Turner, P. Eric (32)",32,531186.68338521,Republican,3176813631.82671
33,"Davis, Bill (33)",33,326397.304028697,Republican,3449581138.02301
34,"Tyler, Dennis (34)",34,76174.4651241955,Democrat,123248307.189146
35,"Lutz, L. Jack (35)",35,478004.928490261,Republican,2392181739.86536
36,"Austin, Terri Jo (36)",36,204664.292142332,Democrat,678069839.688358
37,"Reske, Scott (37)",37,133409.625625439,Democrat,737033526.879391
38,"Clements, Jacqueline (38)",38,346875.584682012,Republican,2872786244.05761
39,"Torr, Gerald (39)",39,114404.409107328,Republican,256678180.72272
40,"Whetstone, Matthew (40)",40,132106.452558346,Republican,451739375.652451
41,"Brown, Timothy (41)",41,503141.428655839,Republican,3104716870.86722
42,"Grubb, F. Dale (42)",42,452897.78197297,Democrat,5584060048.90322
43,"Kersey, Clyde (43)",43,120118.905666761,Democrat,419028601.99897
44,"Michael, Nancy (44)",44,317441.535752203,Democrat,3436078516.06074
45,"Borders, Bruce (45)",45,661811.037821649,Republican,5270592089.28995
46,"Tincher, Vern (46)",46,298689.793029913,Democrat,3327939150.62239
47,"Foley, Ralph (47)",47,268084.661675436,Republican,2289106988.145
48,"Neese, Timothy (48)",48,96542.1442416606,Republican,294135131.164916
49,"Culver, Wes (49)",49,212485.220749181,Republican,739181600.470728
50,"Leonard, Daniel (50)",50,266582.576901726,Republican,2977191219.19746
51,"Dodge, Richard (51)",51,233910.804183573,Republican,2616047725.70868
52,"Yarde, David (52)",52,233148.658795997,Republican,2497910079.44011
53,"Cherry, Robert (53)",53,268909.477762026,Republican,2088219274.16936
54,"Saunders, Thomas (54)",54,400929.51378518,Republican,3391548338.75838
55,"Knollman, Thomas (55)",55,424225.459935778,Republican,3079443495.95106
56,"Pflum, Phillip (56)",56,226946.808058858,Democrat,764289949.695128
57,"Eberhart, Sean (57)",57,313123.311675686,Republican,2291620036.5162
58,"Burton, Woody (58)",58,95608.3904487187,Republican,463002220.430541
59,"Smith, Milo (59)",59,213495.988984467,Republican,966999744.80059
60,"Welch, Peggy (60)",60,277691.877302002,Democrat,1605317116.07036
61,"Pierce, Matt (61)",61,95213.2821218948,Democrat,330395664.381707
62,"Denbo, Jerry (62)",62,599913.022911724,Democrat,4840862897.56853
63,"Messmer, Mark (63)",63,471867.071438192,Republican,3836250020.30714
64,"Battles, Kreg (64)",64,360014.00164553,Democrat,2973798832.89167
65,"Koch, Eric (65)",65,514834.961663508,Republican,3827830721.15762
66,"Goodin, Terry (66)",66,424977.141581949,Democrat,1982094412.82392
67,"Duncan, Cleo (67)",67,425321.554368678,Republican,3982481363.86744
68,"Bischoff, Robert (68)",68,415008.314394349,Democrat,3492958607.41173
69,"Cheatham, Dave (69)",69,316279.166784881,Democrat,3509492555.93659
70,"Robertson, Paul (70)",70,382335.628284581,Democrat,2681025567.53154
71,"Stemler, Steve (71)",71,162550.35954608,Democrat,374567407.682659
72,"Clere, Edward (72)",72,111644.918638488,Republican,339417083.722424
73,"Oxley, Dennie III (73)",73,811823.006738305,Democrat,5563954054.784
74,"Stilwell, Russell (74)",74,474103.77174198,Democrat,3638380846.78223
75,"Avery, Dennis (75)",75,252212.030826738,Democrat,815027848.748562
76,"Van Haaften, Trent (76)",76,408061.03944452,Democrat,2249588799.69738
77,"Riecken, Gail (77)",77,74233.3247771123,Democrat,107525920.937355
78,"Crouch, Suzanne (78)",78,276673.697857234,Republican,881586218.543535
79,"Lehman, Matthew (79)",79,342348.238136596,Republican,2929654596.15051
80,"GiaQuinta, Phil (80)",80,75826.4791611557,Democrat,74699350.8319706
81,"Moses Jr., Winfield (81)",81,75948.7145443972,Democrat,92338803.2884961
82,"Espich, Jeffrey (82)",82,303260.172105705,Republican,1963840839.89287
83,"Bell, Matt (83)",83,274414.104286898,Republican,1739592102.05782
84,"Borror, Randy (84)",84,75724.8540768952,Republican,110101076.391306
85,"Pond, Phyllis (85)",85,236436.398612059,Republican,1061793814.77973
86,"DeLaney, Ed (86)",86,91881.7898972301,Democrat,131280340.219142
87,"Noe, Cynthia (87)",87,144886.813270115,Republican,239405908.724365
88,"Bosma, Brian (88)",88,70574.2608850393,Republican,141702225.593633
89,"Barnes, John (89)",89,73695.3919967439,Democrat,131495977.325429
90,"Murphy, Michael (90)",90,95506.7117884614,Republican,251141690.994554
91,"Behning, Robert (91)",91,139466.530141939,Republican,393423741.450781
92,"Hinkle, Phillip (92)",92,109331.569257703,Republican,179339833.739161
93,"Frizzell, David (93)",93,104120.196584474,Republican,307749475.183789
94,"Pryor, Cherrish (94)",94,62816.4852892014,Democrat,80544884.6378567
95,"Dickinson, Mae (95)",95,61443.5451880752,Democrat,103856751.664953
96,"Porter, Gregory (96)",96,60192.9824379815,Democrat,73808515.7222807
97,"Sullivan, Mary Ann (97)",97,62857.4163626604,Democrat,88891171.5690164
98,"Crawford, William (98)",98,54367.1620942373,Democrat,91278464.9028964
99,"Summers, Vanessa (99)",99,87393.4861342526,Democrat,96942034.538513
100,"Day, John (100)",100,32922.0794440758,Democrat,46341120.7805596
