geoid10,lsad10,countyfp10,coname,objectid_1,statefp10,vtdst10,vtdi10,intptlat10,name10,funcstat10,intptlon10,aland10,awater10,mtfcc10,SHAPE__Length,SHAPE__Area
1800100270,00,001,Adams County,1,18,00270,A,+40.7875856,ST. MARYS,N,-084.8309857,63630424,30413,G5240,0.330897947627572,0.0067921310805
1800100170,00,001,Adams County,2,18,00170,A,+40.5967210,GENEVA,N,-084.9572520,2814165,362111,G5240,0.141329351061661,0.0003379191605
1800100120,00,001,Adams County,3,18,00120,A,+40.8422278,DECATUR 4,N,-084.9456167,1704787,0,G5240,0.111761768057764,0.000182028288
1800100300,00,001,Adams County,4,18,00300,A,+40.8868067,WEST ROOT,N,-084.9787018,44150848,221730,G5240,0.382657716747682,0.004740341643
1800100110,00,001,Adams County,5,18,00110,A,+40.8251175,DECATUR 3,N,-084.9397698,3564714,0,G5240,0.181747101576096,0.0003805003045
1800100230,00,001,Adams County,6,18,00230,A,+40.8066838,NORTH WASHINGTON,N,-084.9632848,23612907,83093,G5240,0.508474244622534,0.002529150177
1800100030,00,001,Adams County,7,18,00030,A,+40.6502304,BERNE C,N,-084.9663203,1357628,898,G5240,0.102994805763824,0.0001446434485
1800100210,00,001,Adams County,8,18,00210,A,+40.7480264,MONROE A,N,-084.9424572,816761,0,G5240,0.0436743482490052,8.708752e-05
1800100220,00,001,Adams County,9,18,00220,A,+40.7423834,MONROE B,N,-084.9399549,796374,0,G5240,0.0565363547037649,8.490664e-05
1800100250,00,001,Adams County,10,18,00250,A,+40.6983373,SOUTH MONROE,N,-084.9331585,90834199,128812,G5240,0.513039564967649,0.0096923987545
1800100070,00,001,Adams County,11,18,00070,A,+40.8302002,DECATUR 1,N,-084.9132673,2128216,0,G5240,0.121793192866971,0.000227199658
1800100090,00,001,Adams County,12,18,00090,A,+40.8188101,DECATUR 2,N,-084.9215797,2558222,16644,G5240,0.110558241742966,0.000274839692
1800100260,00,001,Adams County,13,18,00260,A,+40.7744440,SOUTH WASHINGTON,N,-084.9377229,61871928,0,G5240,0.357132441668823,0.0065996981365
1800100130,00,001,Adams County,14,18,00130,A,+40.8393366,DECATUR 5,N,-084.9177001,4503934,0,G5240,0.186315954191484,0.000480882803
1800100240,00,001,Adams County,15,18,00240,A,+40.8648588,PREBLE,N,-085.0417406,61778816,219756,G5240,0.326344510219832,0.006623089772
1800100150,00,001,Adams County,16,18,00150,A,+40.8819914,EAST ROOT,N,-084.9048200,43978412,100960,G5240,0.373622324435256,0.0047092205085
1800100180,00,001,Adams County,17,18,00180,A,+40.6089849,HARTFORD,N,-085.0276867,62152763,201649,G5240,0.326906890012464,0.0066352909345
1800100020,00,001,Adams County,18,18,00020,A,+40.6532503,BERNE B,N,-084.9543874,1543375,0,G5240,0.0827368637593843,0.000164333045
1800100010,00,001,Adams County,19,18,00010,A,+40.6628823,BERNE A,N,-084.9508505,2480194,0,G5240,0.157141051365437,0.0002641195235
1800100290,00,001,Adams County,20,18,00290,A,+40.6101769,WABASH,N,-084.9322265,87858466,777351,G5240,0.620387669897342,0.009432105693
1800100160,00,001,Adams County,21,18,00160,A,+40.7009206,FRENCH,N,-085.0302292,61794591,207419,G5240,0.325875318066768,0.006606287939
1800100060,00,001,Adams County,22,18,00060,A,+40.7125571,BLUE CREEK,N,-084.8355463,62932953,687,G5240,0.328919969546108,0.0067058793805
1800100280,00,001,Adams County,23,18,00280,A,+40.8777392,UNION,N,-084.8416444,64090403,0,G5240,0.331771794151306,0.006846838319
1800100190,00,001,Adams County,24,18,00190,A,+40.6227120,JEFFERSON,N,-084.8398670,62423048,78940,G5240,0.326985563254507,0.0066512984755
1800100200,00,001,Adams County,25,18,00200,A,+40.7876070,KIRKLAND,N,-085.0335207,62701000,0,G5240,0.328034272736197,0.0066894456445
1800300270,00,003,Allen County,26,18,00270,A,+41.1284994,181,N,-085.0388630,427925,0,G5240,0.0343429962268765,4.58872105e-05
1800300280,00,003,Allen County,27,18,00280,A,+41.1298001,183,N,-085.0436162,889814,0,G5240,0.0521704297125086,9.5418503e-05
1800300290,00,003,Allen County,28,18,00290,A,+41.1238849,184,N,-085.0546858,864653,0,G5240,0.0427231847805135,9.27119515e-05
1800300300,00,003,Allen County,29,18,00300,A,+41.1311194,185,N,-085.0547398,1091072,0,G5240,0.0462251923156154,0.0001170022415
1800300310,00,003,Allen County,30,18,00310,A,+41.1403805,186,N,-085.0542258,1492432,0,G5240,0.0680953080522938,0.0001600649615
1800300320,00,003,Allen County,31,18,00320,A,+41.1160076,187,N,-085.0757133,635055,0,G5240,0.0382294453836858,6.8085315e-05
