name,party,district_type,district_number,counties,county_count
Carolyn B. Jackson,D,House District,1,Lake,1
"Earl Harris, Jr.",D,House District,2,Lake,1
Ragen Hatcher,D,House District,3,Lake,1
Ryan Kominakis,D,House District,4,Porter,1
Ed Soliday,R,House District,4,Porter,1
Alex Wait,D,House District,5,St. Joseph,1
Dale DeVon,R,House District,5,St. Joseph,1
Maureen Bauer,D,House District,6,St. Joseph,1
Oliver Davis,D,House District,7,"LaPorte, Marshall, St. Joseph",3
Jake Teshka,R,House District,7,"LaPorte, Marshall, St. Joseph",3
Ryan M Dvorak,D,House District,8,St. Joseph,1
Randy Novak,D,House District,9,"LaPorte, Porter",2
Chris Cleveland,R,House District,9,"LaPorte, Porter",2
Charles Chuck Moseley,D,House District,10,Porter,1
Ted Uzelac,R,House District,10,Porter,1
Tyler Thomas Bridges,D,House District,11,"Jasper, Lake, Newton, Porter",4
Michael J. Aylesworth,R,House District,11,"Jasper, Lake, Newton, Porter",4
Mike Andrade,D,House District,12,Lake,1
Brenna Geswein,D,House District,13,"Benton, Fountain, Jasper, Montgomery, Newton, Tippecanoe, Warren, White",8
"Edward (Ed) Moyer, Jr.",D,House District,13,"Benton, Fountain, Jasper, Montgomery, Newton, Tippecanoe, Warren, White",8
Matt Commons,R,House District,13,"Benton, Fountain, Jasper, Montgomery, Newton, Tippecanoe, Warren, White",8
Vernon G. Smith,D,House District,14,Lake,1
Anthony Oberman,D,House District,15,Lake,1
Hal Slager,R,House District,15,Lake,1
Ashley Hammac,D,House District,16,"Jasper, Pulaski, Starke, White",4
Kendell Culp,R,House District,16,"Jasper, Pulaski, Starke, White",4
Mary E. Gibson,D,House District,17,"Fulton, Marshall, Pulaski",3
Jack Jordan,R,House District,17,"Fulton, Marshall, Pulaski",3
Nick Neal,D,House District,19,"Lake, Porter",2
Julie Olthoff,R,House District,19,"Lake, Porter",2
Alicia Firanek,D,House District,20,"LaPorte, Starke",2
Laura Liskey,D,House District,20,"LaPorte, Starke",2
Juanita Haney,R,House District,20,"LaPorte, Starke",2
Jim Pressel,R,House District,20,"LaPorte, Starke",2
Charles Burkley,D,House District,21,"Elkhart, St. Joseph",2
Timothy Wesco,R,House District,21,"Elkhart, St. Joseph",2
Austin D. Meives,D,House District,23,"Cass, Miami",2
Ethan Manning,R,House District,23,"Cass, Miami",2
Racheal Bleicher,D,House District,24,"Boone, Hamilton",2
Hunter Smith,R,House District,24,"Boone, Hamilton",2
Tiffany Stoner,D,House District,25,"Boone, Hendricks",2
Becky Cash,R,House District,25,"Boone, Hendricks",2
Chris Campbell,D,House District,26,Tippecanoe,1
Magdalaine Davis,R,House District,26,Tippecanoe,1
Sheila J. Klinker,D,House District,27,Tippecanoe,1
Oscar Alvarez,R,House District,27,Tippecanoe,1
Tracy Brown,R,House District,27,Tippecanoe,1
Karen Whitney,D,House District,28,"Boone, Hendricks, Montgomery",3
Jeffrey A. Thompson,R,House District,28,"Boone, Hendricks, Montgomery",3
Sheila Zielinski,R,House District,28,"Boone, Hendricks, Montgomery",3
Coumba Kebe,D,House District,29,Hamilton,1
Devon Wellington,D,House District,29,Hamilton,1
Alaina Shonkwiler,R,House District,29,Hamilton,1
Jack Chance,D,House District,30,"Grant, Howard",2
Ray A. Collins,R,House District,30,"Grant, Howard",2
Paula Davis,R,House District,30,"Grant, Howard",2
Katie Robins,D,House District,31,"Grant, Madison",2
Lori J. Goss-Reaves,R,House District,31,"Grant, Madison",2
Victoria Garcia Wilburn,D,House District,32,"Hamilton, Marion",2
John E Bartlett,D,House District,33,"Blackford, Delaware, Henry, Jay, Randolph",5
John (J.D.) Prescott,R,House District,33,"Blackford, Delaware, Henry, Jay, Randolph",5
Sara Gullion,D,House District,34,Delaware,1
Richard M. (Rich) Ivy,R,House District,34,Delaware,1
Randall L. McCallister,R,House District,34,Delaware,1
Phil G. Gift,D,House District,35,"Delaware, Madison",2
Elizabeth Rowray,R,House District,35,"Delaware, Madison",2
"Nouhad E Melki, II",D,House District,36,Madison,1
Kimberly (Kim) Townsend,D,House District,36,Madison,1
Kyle Pierce,R,House District,36,Madison,1
Lauren S. Cole,D,House District,37,Hamilton,1
Joel Levi,D,House District,37,Hamilton,1
Todd Huston,R,House District,37,Hamilton,1
Nate Stout,D,House District,38,"Carroll, Cass, Clinton, Howard, Tippecanoe, Tipton",6
Mark Hufford,R,House District,38,"Carroll, Cass, Clinton, Howard, Tippecanoe, Tipton",6
Heath R. VanNatter,R,House District,38,"Carroll, Cass, Clinton, Howard, Tippecanoe, Tipton",6
Lindsay Gramlich,D,House District,39,Hamilton,1
Danny Lopez,R,House District,39,Hamilton,1
William Colteryahn,D,House District,40,Hendricks,1
Sid Mahant,R,House District,40,Hendricks,1
Gregory E. Steuerwald,R,House District,40,Hendricks,1
Jackson T. Hayes,D,House District,41,"Boone, Clinton, Montgomery, Tippecanoe",4
Mark Genda,R,House District,41,"Boone, Clinton, Montgomery, Tippecanoe",4
Tonya Pfaff,D,House District,43,Vigo,1
Amy Lore,R,House District,43,Vigo,1
Kelsey Kauffman,D,House District,44,"Montgomery, Putnam",2
Beau Baird,R,House District,44,"Montgomery, Putnam",2
Clint Cooper,R,House District,44,"Montgomery, Putnam",2
Rebecca Dawn (Becky) Mayfield,D,House District,45,"Daviess, Greene, Knox, Sullivan, Vigo",5
Bruce Borders,R,House District,45,"Daviess, Greene, Knox, Sullivan, Vigo",5
Kellie E. Streeter,R,House District,45,"Daviess, Greene, Knox, Sullivan, Vigo",5
"James H. Pittsford (Jimmy), III",D,House District,46,"Clay, Monroe, Owen, Vigo",4
Thomas L. (Tom) Arthur,R,House District,46,"Clay, Monroe, Owen, Vigo",4
Bob Heaton,R,House District,46,"Clay, Monroe, Owen, Vigo",4
Michael E Potter,D,House District,47,"Johnson, Shelby",2
Robb Greene,R,House District,47,"Johnson, Shelby",2
Carl D Stutsman,D,House District,48,Elkhart,1
Emily Yaw,D,House District,48,Elkhart,1
Doug Miller,R,House District,48,Elkhart,1
Monica Garbaciak,D,House District,49,Elkhart,1
Susan J. Lawson,D,House District,49,Elkhart,1
Michelle Milne,D,House District,49,Elkhart,1
Joanna King,R,House District,49,Elkhart,1
Pepper Snyder,D,House District,50,"Huntington, Miami, Wabash, Wells",4
Lorissa C. Sweet,R,House District,50,"Huntington, Miami, Wabash, Wells",4
Judy Rowe,D,House District,51,"LaGrange, Steuben",2
Tony Isa,R,House District,51,"LaGrange, Steuben",2
Theresa Steele,R,House District,51,"LaGrange, Steuben",2
Reece Axel-Adams,D,House District,53,"Hancock, Madison",2
Ethan J. Lawson,R,House District,53,"Hancock, Madison",2
Victoria C. Martz,D,House District,55,"Decatur, Fayette, Franklin, Ripley, Rush, Union",6
Lindsay Patterson,R,House District,55,"Decatur, Fayette, Franklin, Ripley, Rush, Union",6
Thomas Scott Rockwell,D,House District,56,"Henry, Wayne",2
Adam Blanton,R,House District,56,"Henry, Wayne",2
Randy Retter,R,House District,56,"Henry, Wayne",2
Pete A. Zaleski,R,House District,56,"Henry, Wayne",2
Suzanne Fortenberry,D,House District,57,"Hendricks, Johnson, Morgan",3
Wes Bennett,R,House District,57,"Hendricks, Johnson, Morgan",3
Greg (No Bull) Knott,R,House District,57,"Hendricks, Johnson, Morgan",3
Rob Stiles,R,House District,57,"Hendricks, Johnson, Morgan",3
Tina Turner,R,House District,57,"Hendricks, Johnson, Morgan",3
Michelle Hennessee Sears,D,House District,58,Johnson,1
Eric Reingardt,D,House District,58,Johnson,1
Ed Brickley,R,House District,58,Johnson,1
John Reed,R,House District,58,Johnson,1
John Young,R,House District,58,Johnson,1
Carrie L. Syczylo,D,House District,60,"Johnson, Monroe, Morgan",3
Peggy Mayfield,R,House District,60,"Johnson, Monroe, Morgan",3
Mike Moore,R,House District,60,"Johnson, Monroe, Morgan",3
David W. Waters,R,House District,60,"Johnson, Monroe, Morgan",3
Matt Pierce,D,House District,61,Monroe,1
Lilliana Young,D,House District,61,Monroe,1
Amy Huffman Oliver,D,House District,62,"Brown, Jackson, Monroe",3
Dave Hall,R,House District,62,"Brown, Jackson, Monroe",3
Tiffanie Arthur,D,House District,63,"Daviess, Dubois, Martin, Pike",4
Anthony W (Tony) Bolen,D,House District,63,"Daviess, Dubois, Martin, Pike",4
Adam Mann,D,House District,63,"Daviess, Dubois, Martin, Pike",4
Amy Kippenbrock,R,House District,63,"Daviess, Dubois, Martin, Pike",4
Richard Moss,R,House District,63,"Daviess, Dubois, Martin, Pike",4
Candace (Candy) Greer,D,House District,64,"Gibson, Knox, Vanderburgh",3
Matt Hostettler,R,House District,64,"Gibson, Knox, Vanderburgh",3
Ryan Price,D,House District,66,"Clark, Jefferson, Scott",3
Zach Payne,R,House District,66,"Clark, Jefferson, Scott",3
Justin Chadwick,D,House District,67,"Decatur, Jefferson, Jennings, Ripley",4
Alex Zimmerman,R,House District,67,"Decatur, Jefferson, Jennings, Ripley",4
Hunter B Collins,D,House District,68,"Dearborn, Jefferson, Ohio, Switzerland",4
Garrett R. Bascom,R,House District,68,"Dearborn, Jefferson, Ohio, Switzerland",4
Chris Bowen,D,House District,69,"Bartholomew, Jackson, Scott, Washington",4
Jim Lucas,R,House District,69,"Bartholomew, Jackson, Scott, Washington",4
Sarah Blessing,D,House District,70,"Clark, Floyd, Harrison, Washington",4
Jerry Finn,D,House District,70,"Clark, Floyd, Harrison, Washington",4
Tamyra Persinger-Andres,D,House District,70,"Clark, Floyd, Harrison, Washington",4
John D. Colburn,R,House District,70,"Clark, Floyd, Harrison, Washington",4
Scott L. Fluhr,R,House District,70,"Clark, Floyd, Harrison, Washington",4
Wendy Dant Chesser,D,House District,71,"Clark, Floyd",2
D.M. Bagshaw,R,House District,71,"Clark, Floyd",2
"James R. McClure, Jr.",R,House District,71,"Clark, Floyd",2
Cory Cochran,D,House District,72,Floyd,1
Michele (Shelly) Henry,D,House District,72,Floyd,1
Shawn M. Carruthers,R,House District,72,Floyd,1
Darrell Neeley,R,House District,72,Floyd,1
Allen J. (A.J.) Miller,D,House District,73,"Bartholomew, Decatur, Jennings, Shelby",4
"Edward K. Comstock, II",R,House District,73,"Bartholomew, Decatur, Jennings, Shelby",4
Jennifer Meltzer,R,House District,73,"Bartholomew, Decatur, Jennings, Shelby",4
Logan A. Patberg,D,House District,76,"Posey, Vanderburgh",2
Wendy (Mac) McNamara,R,House District,76,"Posey, Vanderburgh",2
Alex Burton,D,House District,77,Vanderburgh,1
Sally Busby,D,House District,78,"Vanderburgh, Warrick",2
Tim O'Brien,R,House District,78,"Vanderburgh, Warrick",2
Ian G. Richardson,D,House District,79,"Adams, Jay, Wells",3
Matthew S. Lehman,R,House District,79,"Adams, Jay, Wells",3
Phil GiaQuinta,D,House District,80,Allen,1
Chad Clevidence,D,House District,81,Allen,1
Sharon L Wight,D,House District,81,Allen,1
Martin Carbaugh,R,House District,81,Allen,1
David Mervar,R,House District,81,Allen,1
Kyle Miller,D,House District,82,Allen,1
Wesley Haffenden,D,House District,83,"Allen, Whitley",2
Christopher Judy,R,House District,83,"Allen, Whitley",2
Misti Meehan,D,House District,84,Allen,1
Bob Morris,R,House District,84,Allen,1
Mark (Bird) Wehrle,D,House District,85,Allen,1
Dave Heine,R,House District,85,Allen,1
Edward O. DeLaney,D,House District,86,Marion,1
Glenn Bill,R,House District,86,Marion,1
Carey Hamilton,D,House District,87,Marion,1
Stephanie Jo Yocum,D,House District,88,"Hamilton, Hancock, Madison, Marion",4
Chris Jeter,R,House District,88,"Hamilton, Hancock, Madison, Marion",4
Mitch Gore,D,House District,89,Marion,1
Jarren Hurt,D,House District,91,Marion,1
Robert W. Behning,R,House District,91,Marion,1
Reneé Pack,D,House District,92,Marion,1
Eva M. Rosberg,D,House District,93,Marion,1
Julie McGuire,R,House District,93,Marion,1
Cherrish S Pryor,D,House District,94,Marion,1
"André Sisk, Sr",D,House District,94,Marion,1
John L. Bartlett,D,House District,95,Marion,1
Keith Graves,D,House District,95,Marion,1
Tyrrell Giles Quest,D,House District,95,Marion,1
Gregory W. Porter,D,House District,96,Marion,1
Justin Moed,D,House District,97,Marion,1
Sarah Shydale,D,House District,97,Marion,1
Robin Shackleford,D,House District,98,Marion,1
Vanessa J Summers,D,House District,99,Marion,1
Blake Johnson,D,House District,100,Marion,1
David H. Abbott,R,House District,18,"Elkhart, Kosciusko, Noble, Whitley",4
Daniel R. Koors,R,House District,22,"Kosciusko, Wabash",2
Craig Snow,R,House District,22,"Kosciusko, Wabash",2
Tim R. Yocum,R,House District,42,"Clay, Fountain, Parke, Vermillion, Vigo",5
Eve Peters,R,House District,52,"DeKalb, Noble, Steuben",3
Ben Smaltz,R,House District,52,"DeKalb, Noble, Steuben",3
Cory Criswell,R,House District,54,"Hancock, Henry, Rush, Shelby",4
Ryan Lauer,R,House District,59,Bartholomew,1
Chris D. May,R,House District,65,"Jackson, Lawrence, Orange, Washington",4
Stephen R. Bartels,R,House District,74,"Crawford, Dubois, Orange, Perry, Spencer",5
Cindy Ledbetter,R,House District,75,"Gibson, Pike, Warrick",3
Andrew Ireland,R,House District,90,Marion,1
Scott Houldieson,D,Senate District,1,Lake,1
Trevor G. De Vries,R,Senate District,1,Lake,1
Daniel (Dan) Dernulc,R,Senate District,1,Lake,1
Nader Liddawi,R,Senate District,1,Lake,1
Rodney Pol,D,Senate District,4,"LaPorte, Porter",2
Johannes Poulard,R,Senate District,4,"LaPorte, Porter",2
Nate Uldricks,R,Senate District,4,"LaPorte, Porter",2
Kate-Lynn Holley,D,Senate District,6,"Benton, Jasper, Lake, Newton",4
Rick Niemeyer,R,Senate District,6,"Benton, Jasper, Lake, Newton",4
James (Jay) Starkey,R,Senate District,6,"Benton, Jasper, Lake, Newton",4
Gabrianna Gratzol,D,Senate District,11,"Elkhart, St. Joseph",2
Linda Rogers,R,Senate District,11,"Elkhart, St. Joseph",2
Brian S. Schmutzler,R,Senate District,11,"Elkhart, St. Joseph",2
Blaine Sefton,D,Senate District,14,"Allen, DeKalb",2
Tyler Johnson,R,Senate District,14,"Allen, DeKalb",2
Chloe Andis,D,Senate District,15,Allen,1
Julie McGill,D,Senate District,15,Allen,1
Liz Brown,R,Senate District,15,Allen,1
Darren Vogt,R,Senate District,15,Allen,1
Cynthia M. Wehr,D,Senate District,17,"Grant, Huntington, Wabash",3
Michael R. Hensley,R,Senate District,17,"Grant, Huntington, Wabash",3
Nick McKinley,R,Senate District,17,"Grant, Huntington, Wabash",3
Chris Parker,R,Senate District,17,"Grant, Huntington, Wabash",3
Timothy C. Murphy,D,Senate District,19,"Adams, Allen, Blackford, Jay, Wells",5
Blake Fiechter,R,Senate District,19,"Adams, Allen, Blackford, Jay, Wells",5
Travis Holdman,R,Senate District,19,"Adams, Allen, Blackford, Jay, Wells",5
Joseph Kazlas,D,Senate District,21,"Hamilton, Howard, Tipton",3
Kirsten Root,D,Senate District,21,"Hamilton, Howard, Tipton",3
James (Jim) Buck,R,Senate District,21,"Hamilton, Howard, Tipton",3
Tracey Powell,R,Senate District,21,"Hamilton, Howard, Tipton",3
Natasha Baker,D,Senate District,22,"Carroll, Tippecanoe",2
Marlena Edmondson,D,Senate District,22,"Carroll, Tippecanoe",2
Ron Alting,R,Senate District,22,"Carroll, Tippecanoe",2
Richard Bagsby,R,Senate District,22,"Carroll, Tippecanoe",2
David A Sanders,D,Senate District,23,"Fountain, Montgomery, Parke, Tippecanoe, Vermillion, Warren",6
Paula K. Copenhaver,R,Senate District,23,"Fountain, Montgomery, Parke, Tippecanoe, Vermillion, Warren",6
Spencer R. Deery,R,Senate District,23,"Fountain, Montgomery, Parke, Tippecanoe, Vermillion, Warren",6
Tamie Dixon-Tatum,D,Senate District,25,"Hamilton, Madison",2
Todd Shelton,D,Senate District,25,"Hamilton, Madison",2
Katherine V. Callahan,R,Senate District,25,"Hamilton, Madison",2
Mike Gaskill,R,Senate District,25,"Hamilton, Madison",2
Andrew Dale,D,Senate District,26,"Delaware, Randolph",2
Scott A. Alexander,R,Senate District,26,"Delaware, Randolph",2
Katherine (Kat) Nunley-Kritsch,R,Senate District,26,"Delaware, Randolph",2
Ronald Itnyre,D,Senate District,27,"Franklin, Henry, Union, Wayne",4
Anthony Lee Jones,R,Senate District,27,"Franklin, Henry, Union, Wayne",4
Jeff Raatz,R,Senate District,27,"Franklin, Henry, Union, Wayne",4
"David W Greene, Sr",D,Senate District,29,"Boone, Hamilton, Marion",3
Demetrice Hicks,D,Senate District,29,"Boone, Hamilton, Marion",3
Kristina Moorhead,D,Senate District,29,"Boone, Hamilton, Marion",3
Kevin Short,D,Senate District,29,"Boone, Hamilton, Marion",3
Mike Delph,R,Senate District,29,"Boone, Hamilton, Marion",3
V. Roni Ford,R,Senate District,29,"Boone, Hamilton, Marion",3
John Ruckelshaus,R,Senate District,29,"Boone, Hamilton, Marion",3
Andrew J. Dezelan,D,Senate District,31,"Hamilton, Marion",2
Kerry J Forestal,D,Senate District,31,"Hamilton, Marion",2
Lasima O. Packett,D,Senate District,31,"Hamilton, Marion",2
Catherine Torzewski,D,Senate District,31,"Hamilton, Marion",2
Juanita Albright,R,Senate District,31,"Hamilton, Marion",2
Tiffanie Ditlevson,R,Senate District,31,"Hamilton, Marion",2
Travis Hankins,R,Senate District,31,"Hamilton, Marion",2
Jan Kepley Keefer,R,Senate District,31,"Hamilton, Marion",2
Kacey Blundell,D,Senate District,38,"Clay, Sullivan, Vigo",3
Greg Goode,R,Senate District,38,"Clay, Sullivan, Vigo",3
Alexandra Wilson,R,Senate District,38,"Clay, Sullivan, Vigo",3
Brenda K. Wilson,R,Senate District,38,"Clay, Sullivan, Vigo",3
Joseph Baughman,D,Senate District,39,"Daviess, Greene, Knox, Martin, Owen, Sullivan",6
Tanner Bouchie,R,Senate District,39,"Daviess, Greene, Knox, Martin, Owen, Sullivan",6
Jeff Ellington,R,Senate District,39,"Daviess, Greene, Knox, Martin, Owen, Sullivan",6
Kristi Risk,R,Senate District,39,"Daviess, Greene, Knox, Martin, Owen, Sullivan",6
Ross Thomas,D,Senate District,41,"Bartholomew, Johnson",2
Michelle Davis,R,Senate District,41,"Bartholomew, Johnson",2
Greg Walker,R,Senate District,41,"Bartholomew, Johnson",2
Byron E. Holland,D,Senate District,43,"Dearborn, Jefferson, Jennings, Ohio, Scott, Switzerland",6
Randall D. Maxwell,R,Senate District,43,"Dearborn, Jefferson, Jennings, Ohio, Scott, Switzerland",6
Joe Volk,R,Senate District,43,"Dearborn, Jefferson, Jennings, Ohio, Scott, Switzerland",6
Nick Marshall,D,Senate District,45,"Clark, Floyd",2
Chris Garten,R,Senate District,45,"Clark, Floyd",2
Sam Glynn,D,Senate District,46,Marion,1
Allissa Impink,D,Senate District,46,Marion,1
Clif Marsiglio,D,Senate District,46,Marion,1
Ethan Sweetland-May,D,Senate District,47,"Floyd, Harrison, Washington",3
Gary Byrne,R,Senate District,47,"Floyd, Harrison, Washington",3
Bradley (Brad) Hochgesang,D,Senate District,48,"Crawford, Dubois, Gibson, Perry, Pike, Spencer",6
Daryl Schmitt,R,Senate District,48,"Crawford, Dubois, Gibson, Perry, Pike, Spencer",6
Cindi Clayton,D,Senate District,49,"Posey, Vanderburgh",2
Brandi Durham Pugh,R,Senate District,49,"Posey, Vanderburgh",2
Jim Tomes,R,Senate District,49,"Posey, Vanderburgh",2
Mary Allen,D,Congressional District,8,"Clay, Crawford, Daviess, Dubois, Fountain, Gibson, Greene, Knox, Martin, Orange, Owen, Parke, Perry, Pike, Posey, Spencer, Sullivan, Vanderburgh, Vermillion, Vigo, Warrick",21
Mario Foradori,D,Congressional District,8,"Clay, Crawford, Daviess, Dubois, Fountain, Gibson, Greene, Knox, Martin, Orange, Owen, Parke, Perry, Pike, Posey, Spencer, Sullivan, Vanderburgh, Vermillion, Vigo, Warrick",21
Christopher Rector,D,Congressional District,8,"Clay, Crawford, Daviess, Dubois, Fountain, Gibson, Greene, Knox, Martin, Orange, Owen, Parke, Perry, Pike, Posey, Spencer, Sullivan, Vanderburgh, Vermillion, Vigo, Warrick",21
Tabitha Zeigler,D,Congressional District,8,"Clay, Crawford, Daviess, Dubois, Fountain, Gibson, Greene, Knox, Martin, Orange, Owen, Parke, Perry, Pike, Posey, Spencer, Sullivan, Vanderburgh, Vermillion, Vigo, Warrick",21
Mark Messmer,R,Congressional District,8,"Clay, Crawford, Daviess, Dubois, Fountain, Gibson, Greene, Knox, Martin, Orange, Owen, Parke, Perry, Pike, Posey, Spencer, Sullivan, Vanderburgh, Vermillion, Vigo, Warrick",21
Steven Avitabile Avit,D,Congressional District,5,"Delaware, Grant, Hamilton, Howard, Madison, Tipton",6
J.D. Ford,D,Congressional District,5,"Delaware, Grant, Hamilton, Howard, Madison, Tipton",6
Jackson Franklin,D,Congressional District,5,"Delaware, Grant, Hamilton, Howard, Madison, Tipton",6
Phil Goss,D,Congressional District,5,"Delaware, Grant, Hamilton, Howard, Madison, Tipton",6
Dylan McKenna,D,Congressional District,5,"Delaware, Grant, Hamilton, Howard, Madison, Tipton",6
Tara Nelson,D,Congressional District,5,"Delaware, Grant, Hamilton, Howard, Madison, Tipton",6
Deborah A Pickett,D,Congressional District,5,"Delaware, Grant, Hamilton, Howard, Madison, Tipton",6
Scott A. King,R,Congressional District,5,"Delaware, Grant, Hamilton, Howard, Madison, Tipton",6
Victoria Spartz,R,Congressional District,5,"Delaware, Grant, Hamilton, Howard, Madison, Tipton",6
Frank J. Mrvan,D,Congressional District,1,"LaPorte, Lake, Porter",3
LaVetta Sparks-Wade,D,Congressional District,1,"LaPorte, Lake, Porter",3
Barb Regnitz,R,Congressional District,1,"LaPorte, Lake, Porter",3
Ben Ruiz,R,Congressional District,1,"LaPorte, Lake, Porter",3
James Kent (Jim) Schenke,R,Congressional District,1,"LaPorte, Lake, Porter",3
