County,Office,Candidate,Party,District,Votes
,Presidential Electors for US President & VP,Peter Sonski,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",1347
,Presidential Electors for US President & VP,Kamala D. Harris,Democratic,"1, 2, 3, 4, 5, 6, 7, 8, 9",1163604
,Presidential Electors for US President & VP,André Ramon McNeil Sr.,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",4
,Presidential Electors for US President & VP,Carol Asher,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",4
,Presidential Electors for US President & VP,Cherunda Lynn Fox,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",1
,Presidential Electors for US President & VP,Cornel West,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",723
,Presidential Electors for US President & VP,Doug Jenkins,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",5
,Presidential Electors for US President & VP,Paij Boring,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",18
,Presidential Electors for US President & VP,Shondra Irving,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",2
,Presidential Electors for US President & VP,Tom Hoefling,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",34
,Presidential Electors for US President & VP,William Cody Nalbach,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",5
,Presidential Electors for US President & VP,Chase Oliver,Libertarian,"1, 2, 3, 4, 5, 6, 7, 8, 9",20425
,Presidential Electors for US President & VP,Nala Baozun Scott Johnson Jr,Other,"1, 2, 3, 4, 5, 6, 7, 8, 9",2
,Presidential Electors for US President & VP,Susan Maude Buchser,Other,"1, 2, 3, 4, 5, 6, 7, 8, 9",1
,Presidential Electors for US President & VP,Claudia De la Cruz,Party for Socialism and Liberation,"1, 2, 3, 4, 5, 6, 7, 8, 9",832
,Presidential Electors for US President & VP,Donald J Trump,Republican,"1, 2, 3, 4, 5, 6, 7, 8, 9",1720347
,Presidential Electors for US President & VP,Robert F. Kennedy Jr.,We The People,"1, 2, 3, 4, 5, 6, 7, 8, 9",29325
,US Senator,Valerie McCray,Democratic,Indiana,1097062
,US Senator,Antonio Xavier Alvarez,Independent,Indiana,19
,US Senator,Phillip D. Beachy (Phil),Independent,Indiana,168
,US Senator,Andrew Horning,Libertarian,Indiana,73233
,US Senator,Jim Banks,Republican,Indiana,1659417
,Governor & Lt. Governor,Jennifer G. McCormick,Democratic,Indiana,1183742
,Governor & Lt. Governor,Christopher Ryan Stried,Independent,Indiana,52
,Governor & Lt. Governor,Donald Rainwater,Libertarian,Indiana,129781
,Governor & Lt. Governor,Mike Braun,Republican,Indiana,1566082
,Attorney General,Destiny Wells,Democratic,Indiana,1168513
,Attorney General,Todd Rokita,Republican,Indiana,1669587
,US Representative,André Carson,Democratic,7,185987
,US Representative,Cynthia (Cinde) Wirth,Democratic,6,99841
,US Representative,Deborah A Pickett,Democratic,5,136554
,US Representative,Derrick Holder,Democratic,4,100091
,US Representative,Erik Hurt,Democratic,8,95312
,US Representative,Frank J. Mrvan,Democratic,1,172467
,US Representative,Kiley M. Adolph,Democratic,3,97871
,US Representative,Lori A Camp,Democratic,2,101962
,US Representative,Timothy (Tim) Peck,Democratic,9,113400
,US Representative,Michael John Hubbard,Independent,2,13
,US Representative,Robby Slaughter,Independent,5,9790
,US Representative,Ashley Groff,Libertarian,4,13710
,US Representative,Dakotah Miskus,Libertarian,1,5200
,US Representative,James Michael Sceniak,Libertarian,6,13711
,US Representative,Jarrad Lancaster,Libertarian,3,11015
,US Representative,K Richard Fitzlaff,Libertarian,8,8381
,US Representative,Lauri Shillings,Libertarian,5,9567
,US Representative,Russell (Russ) Brooksbank,Libertarian,9,9454
,US Representative,Rusty Johnson,Libertarian,7,7369
,US Representative,William E. Henry,Libertarian,2,7795
,US Representative,Erin Houchin,Republican,9,222884
,US Representative,Jefferson Shreve,Republican,6,201357
,US Representative,Jim Baird,Republican,4,209794
,US Representative,John P. Schmitz,Republican,7,78792
,US Representative,Mark Messmer,Republican,8,219942
,US Representative,Marlin A. Stutzman,Republican,3,202653
,US Representative,Randy Niemeyer,Republican,1,145056
,US Representative,Rudy Yakym,Republican,2,184848
,US Representative,Victoria Spartz,Republican,5,203293
,State Senator,David Lee Niezgodski,Democratic,10,30420
,State Senator,Fady Qaddoura,Democratic,30,47526
,State Senator,Greg Taylor,Democratic,33,42134
,State Senator,Jessica McCormick,Democratic,35,18707
,State Senator,Joel Levi,Democratic,20,29380
,State Senator,Katrina Owens,Democratic,32,22368
