"Election","ReportingJurisdiction","TypeofReferendum","ReferendumTitle","ReferendumText","DataEntryJurisdictionName","DataEntryLevelName","YesVotes","NoVotes"
"2020 General Election","Adams","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Adams","Locality","8737","2223"
"2020 General Election","Adams","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Adams","Locality","8562","2322"
"2020 General Election","Adams","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Adams","Locality","8644","2222"
"2020 General Election","Adams","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Second District","Shall Judge Cale Bradford be retained in office?","Adams","Locality","8428","2475"
"2020 General Election","Adams","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Adams","Locality","8613","2449"
"2020 General Election","Allen","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Allen","Locality","101540","21681"
"2020 General Election","Allen","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Allen","Locality","101146","21425"
"2020 General Election","Allen","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Allen","Locality","102675","20528"
"2020 General Election","Allen","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Third District","Shall Judge Elizabeth Thoman Tavitas be retained in office?","Allen","Locality","101538","20780"
"2020 General Election","Allen","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Allen","Locality","98606","25666"
"2020 General Election","Bartholomew","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Bartholomew","Locality","21280","5298"
"2020 General Election","Bartholomew","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Bartholomew","Locality","21191","5168"
"2020 General Election","Bartholomew","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Bartholomew","Locality","20581","5833"
"2020 General Election","Bartholomew","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Bartholomew","Locality","21230","5129"
"2020 General Election","Bartholomew","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Bartholomew","Locality","20844","5872"
"2020 General Election","Benton","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Benton","Locality","2705","645"
"2020 General Election","Benton","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Benton","Locality","2660","677"
"2020 General Election","Benton","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Benton","Locality","2678","664"
"2020 General Election","Benton","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Third District","Shall Judge Elizabeth Thoman Tavitas be retained in office?","Benton","Locality","2673","65"
"2020 General Election","Benton","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Benton","Locality","2676","712"
"2020 General Election","Blackford","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Blackford","Locality","3110","877"
"2020 General Election","Blackford","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Blackford","Locality","3185","926"
"2020 General Election","Blackford","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Blackford","Locality","3365","912"
"2020 General Election","Blackford","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Second District","Shall Judge Cale Bradford be retained in office?","Blackford","Locality","3000","962"
"2020 General Election","Blackford","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Blackford","Locality","3075","963"
"2020 General Election","Boone","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Boone","Locality","23128","4327"
"2020 General Election","Boone","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Boone","Locality","23332","4253"
"2020 General Election","Boone","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Boone","Locality","22530","4881"
"2020 General Election","Boone","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Boone","Locality","23323","4262"
"2020 General Election","Boone","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Boone","Locality","22977","4851"
"2020 General Election","Brown","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Brown","Locality","4556","1611"
"2020 General Election","Brown","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Brown","Locality","2742","982"
"2020 General Election","Brown","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Brown","Locality","4556","1611"
"2020 General Election","Brown","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Brown","Locality","4633","1544"
"2020 General Election","Brown","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Brown","Locality","4526","1766"
"2020 General Election","Carroll","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Carroll","Locality","6988","1625"
"2020 General Election","Carroll","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Carroll","Locality","6955","1636"
"2020 General Election","Carroll","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Carroll","Locality","6986","1590"
"2020 General Election","Carroll","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Second District","Shall Judge Cale Bradford be retained in office?","Carroll","Locality","6849","1750"
"2020 General Election","Carroll","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Carroll","Locality","6835","1812"
"2020 General Election","Cass","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Cass","Locality","9747","2591"
"2020 General Election","Cass","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Cass","Locality","9576","2623"
"2020 General Election","Cass","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Cass","Locality","9683","2571"
"2020 General Election","Cass","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Second District","Shall Judge Cale Bradford be retained in office?","Cass","Locality","9487","2853"
"2020 General Election","Cass","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Cass","Locality","9648","2894"
