objectid_1,district_2021,districtn_2021,namelsad,representative,party,url,shape_Length,shape_Area
1,1,1,State House District 1,Carolyn B. Jackson,Democratic,https://indianahousedemocrats.org/members/carolyn-b.-jackson,0.467272892313863,0.00675689796642657
2,2,2,State House District 2,Earl Harris Jr.,Democratic,https://indianahousedemocrats.org/members/earl-l-harris-jr,0.625535739539592,0.0118985127936635
3,3,3,State House District 3,Ragen Hatcher,Democratic,https://indianahousedemocrats.org/members/ragen-hatcher,1.26505448391928,0.047138200077528
4,4,4,State House District 4,Edmond Soliday,Republican,https://www.indianahouserepublicans.com/members/general/ed-soliday/?back=members,1.20546408112053,0.050459954054646
5,5,5,State House District 5,Dale R. DeVon,Republican,https://www.indianahouserepublicans.com/members/general/dale-devon/?back=members,0.569504879682169,0.0125752206413846
6,6,6,State House District 6,Maureen Bauer,Democratic,https://indianahousedemocrats.org/members/maureen-bauer,0.540640004380934,0.00509013048352609
7,7,7,State House District 7,Jake Teshka,Republican,https://www.indianahouserepublicans.com/members/general/jake-teshka/?back=members,2.01494443874572,0.0974847665159881
8,8,8,State House District 8,Ryan Dvorak,Democratic,https://indianahousedemocrats.org/members/ryan-dvorak,0.710781687519149,0.0161560092926393
9,9,9,State House District 9,Pat Boy,Democratic,https://indianahousedemocrats.org/members/pat-boy,1.41990746095159,0.0555165508563083
10,10,10,State House District 10,Charles Moseley,Democratic,https://indianahousedemocrats.org/members/chuck-moseley,1.10653956045437,0.0488431409787403
11,11,11,State House District 11,Michael Aylesworth,Republican,https://www.indianahouserepublicans.com/members/general/michael-aylesworth/?back=members,2.31113677003367,0.176351643677636
12,12,12,State House District 12,Mike Andrade,Democratic,https://indianahousedemocrats.org/members/mike-andrade,0.485008665357169,0.0069331901951385
13,13,13,State House District 13,Matthew Commons,Republican,https://www.indianahouserepublicans.com/members/general/matt-commons/?back=members,3.91991293880096,0.425122551184599
14,14,14,State House District 14,Vernon G. Smith,Democratic,https://indianahousedemocrats.org/members/vernon-smith,0.632363688633763,0.0105788322370881
15,15,15,State House District 15,Hal Slager,Republican,https://www.indianahouserepublicans.com/members/general/hal-slager/?back=members,0.58374953689495,0.0126704805929912
16,16,16,State House District 16,Kendell Culp,Republican,https://www.indianahouserepublicans.com/members/general/kendell-culp/?back=members,3.38195584554501,0.393416529343922
17,17,17,State House District 17,Jack Jordan,Republican,https://www.indianahouserepublicans.com/members/general/jack-jordan/?back=members,2.6191271546656,0.254330199930927
18,18,18,State House District 18,David Abbott,Republican,https://www.indianahouserepublicans.com/members/leadership/david-abbott/?back=members,2.31155421418364,0.180483762272318
19,19,19,State House District 19,Julie Olthoff,Republican,https://www.indianahouserepublicans.com/members/leadership/julie-olthoff/?back=members,1.16678950056256,0.0433186159403138
20,20,20,State House District 20,Jim Pressel,Republican,https://www.indianahouserepublicans.com/members/general/jim-pressel/?back=members,2.03730233159293,0.16423949840262
21,21,21,State House District 21,Timothy Wesco,Republican,https://www.indianahouserepublicans.com/members/general/timothy-wesco/?back=members,1.21519910985618,0.0452234192643756
22,22,22,State House District 22,Craig Snow,Republican,https://www.indianahouserepublicans.com/members/general/craig-snow/?back=members,1.84559791621852,0.149838871636051
23,23,23,State House District 23,Ethan Manning,Republican,https://www.indianahouserepublicans.com/members/general/ethan-manning/?back=members,2.14706373841257,0.194165129739608
24,24,24,State House District 24,Hunter Smith,Republican,https://www.indianahouserepublicans.com/members/general/hunter-smith/?back=members,1.12051474174345,0.050074987694682
25,25,25,State House District 25,Becky Cash,Republican,https://www.indianahouserepublicans.com/members/general/becky-cash/?back=members,1.3085695341084,0.0361881533923399
26,26,26,State House District 26,Chris Campbell,Democratic,https://indianahousedemocrats.org/members/chris-campbell,0.734096898098057,0.0163344430008723
